data,fraction,imp_method,ad_method,f1_before,f1_after,recall_before,recall_after,precision_before,precision_after,accuracy_before,accuracy_after,rmse,mae,mape,exec_time
nyc_taxi,0.1,MEAN,Hotelling T2,0.0560224089635854,0.0888888888888888,0.0289855072463768,0.0560386473429951,0.8333333333333334,0.2148148148148148,0.9020348837209302,0.8847868217054263,0.0566365667086983,0.0147088798470285,168619823113.13617,0
nyc_taxi,0.1,MEAN,One-Class SVM,0.1743101807802093,0.1702041641398827,0.442512077294686,0.4067632850241546,0.1085308056872037,0.1076175869120654,0.5795542635658915,0.6022286821705426,0.0566365667086983,0.0147088798470285,168619823113.13617,9
nyc_taxi,0.1,MEAN,Isolation Forest,0.1702951136913401,0.1636011616650532,0.1700483091787439,0.1632850241545893,0.1705426356589147,0.1639185257032007,0.8338178294573644,0.8325581395348837,0.0566365667086983,0.0147088798470285,168619823113.13617,2
nyc_taxi,0.1,MEAN,LOF,0.1342434584755404,0.1172453044963005,0.1140096618357487,0.0995169082125603,0.1632088520055325,0.1426592797783933,0.8525193798449613,0.8497093023255814,0.0566365667086983,0.0147088798470285,168619823113.13617,1
nyc_taxi,0.1,MEAN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8994186046511627,0.8993217054263566,0.0566365667086983,0.0147088798470285,168619823113.13617,1
nyc_taxi,0.1,MEAN,Variance Based Method,0.14375,0.1443507588532883,0.2,0.2067632850241545,0.1121951219512195,0.110880829015544,0.7610465116279069,0.7541666666666667,0.0566365667086983,0.0147088798470285,168619823113.13617,0
nyc_taxi,0.1,MODE,Hotelling T2,0.0560224089635854,0.094151212553495,0.0289855072463768,0.0637681159420289,0.8333333333333334,0.1798365122615803,0.9020348837209302,0.876937984496124,0.0618640369498348,0.0147826450885357,201516014574.8956,0
nyc_taxi,0.1,MODE,One-Class SVM,0.1743101807802093,0.1775456919060052,0.442512077294686,0.4270531400966184,0.1085308056872037,0.1120689655172413,0.5795542635658915,0.6031976744186046,0.0618640369498348,0.0147826450885357,201516014574.8956,9
nyc_taxi,0.1,MODE,Isolation Forest,0.1673923560716013,0.1490082244799226,0.1671497584541063,0.1487922705314009,0.1676356589147286,0.1492248062015503,0.8332364341085271,0.8295542635658915,0.0618640369498348,0.0147826450885357,201516014574.8956,2
nyc_taxi,0.1,MODE,LOF,0.1342434584755404,0.1035267349260523,0.1140096618357487,0.0879227053140096,0.1632088520055325,0.1258644536652835,0.8525193798449613,0.8472868217054264,0.0618640369498348,0.0147826450885357,201516014574.8956,1
nyc_taxi,0.1,MODE,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8994186046511627,0.8994186046511627,0.0618640369498348,0.0147826450885357,201516014574.8956,1
nyc_taxi,0.1,MODE,Variance Based Method,0.14375,0.1494174091843728,0.2,0.2106280193236715,0.1121951219512195,0.1157727031332979,0.7610465116279069,0.7594961240310077,0.0618640369498348,0.0147826450885357,201516014574.8956,0
nyc_taxi,0.1,MEDIAN,Hotelling T2,0.0560224089635854,0.0967509025270758,0.0289855072463768,0.0647342995169082,0.8333333333333334,0.1914285714285714,0.9020348837209302,0.8787790697674419,0.0584419809938898,0.0143055910342436,187083833159.7164,0
nyc_taxi,0.1,MEDIAN,One-Class SVM,0.1743101807802093,0.1764802902853373,0.442512077294686,0.5169082125603864,0.1085308056872037,0.1064041368337311,0.5795542635658915,0.5161821705426357,0.0584419809938898,0.0143055910342436,187083833159.7164,9
nyc_taxi,0.1,MEDIAN,Isolation Forest,0.1683599419448476,0.1683599419448476,0.1681159420289855,0.1681159420289855,0.1686046511627907,0.1686046511627907,0.8334302325581395,0.8334302325581395,0.0584419809938898,0.0143055910342436,187083833159.7164,2
nyc_taxi,0.1,MEDIAN,LOF,0.1342434584755404,0.0944254835039817,0.1140096618357487,0.0801932367149758,0.1632088520055325,0.1147994467496542,0.8525193798449613,0.8457364341085272,0.0584419809938898,0.0143055910342436,187083833159.7164,1
nyc_taxi,0.1,MEDIAN,ChangeFinder,0.0,0.0,0.0,0.0,0.0,0.0,0.8994186046511627,0.8994186046511627,0.0584419809938898,0.0143055910342436,187083833159.7164,1
nyc_taxi,0.1,MEDIAN,Variance Based Method,0.14375,0.1490514905149051,0.2,0.2125603864734299,0.1121951219512195,0.1147626499739175,0.7610465116279069,0.7565891472868217,0.0584419809938898,0.0143055910342436,187083833159.7164,0
nyc_taxi,0.1,INTERPOLATION,Hotelling T2,0.0560224089635854,0.0578358208955223,0.0289855072463768,0.029951690821256,0.8333333333333334,0.8378378378378378,0.9020348837209302,0.9021317829457364,0.0067563614793847,0.0014404262233687,139199280.63014078,0
nyc_taxi,0.1,INTERPOLATION,One-Class SVM,0.1743101807802093,0.1787330316742081,0.442512077294686,0.4579710144927536,0.1085308056872037,0.1110330288123682,0.5795542635658915,0.577906976744186,0.0067563614793847,0.0014404262233687,139199280.63014078,9
nyc_taxi,0.1,INTERPOLATION,Isolation Forest,0.1664247701983551,0.1693275278180938,0.166183574879227,0.1690821256038647,0.1666666666666666,0.1695736434108527,0.8330426356589147,0.833624031007752,0.0067563614793847,0.0014404262233687,139199280.63014078,2
nyc_taxi,0.1,INTERPOLATION,LOF,0.1342434584755404,0.1376564277588168,0.1140096618357487,0.1169082125603864,0.1632088520055325,0.1673582295988935,0.8525193798449613,0.8531007751937985,0.0067563614793847,0.0014404262233687,139199280.63014078,1
